Rank,Name,Country,Sector,CAGR,Revenue2020,Revenue2017,Employees2020,Employees2017,FoundingYear,Change % in Employees
38,Telemedi,Poland,Health,198.98,4452513,182100,50,10,2014,80.0
42,LGM IMMOBILIER,France,Property,193.05,2549778,101311,11,10,2016,9.090909090909092
85,Catraport,Portugal,Automobiles,141.39,7294549,518613,46,18,2015,60.86956521739131
120,Treedom,Italy,Support Services,128.81,6709720,560150,42,18,2010,57.14285714285714
137,Pinsami,Italy,Food & Beverage,120.71,4892000,455000,33,14,2015,57.57575757575758
144,Peter Kenkel,Germany,Retail,118.2,22137000,2131000,19,10,2006,47.368421052631575
170,Dateio,Czech Republic,Fintech,108.95,4710733,530785,45,18,2013,60.0
183,EODH SA,Greece,Aerospace & Defence,105.35,2597612,299988,30,20,2003,33.33333333333333
190,Podium Advanced Technologies,Italy,Automobiles,103.68,18025740,2133310,38,14,2011,63.1578947368421
200,Lyonnaise de Construction et Renovation,France,Construction,101.44,6640842,812371,30,10,2015,66.66666666666666
211,Eqinov,France,Energy,99.71,70183744,8811708,43,24,2011,44.18604651162791
232,Robovox Distributions,Germany,Retail,96.26,19427000,2570000,35,10,2015,71.42857142857143
235,Bluewater Bio,UK,Technology,95.84,20201424,2708983,18,16,2007,11.11111111111111
237,Delante,Poland,Sales & Marketing,95.39,2160094,316525,48,21,2015,56.25
239,Saljol,Germany,Health,94.93,4146403,559778,15,10,2016,33.33333333333333
242,Ferroamp,Sweden,Energy,94.5,7645003,1062649,42,21,2010,50.0
248,Spiideo,Sweden,Technology,93.76,4799358,674805,36,12,2012,66.66666666666666
254,SPC General Service,Italy,Construction,92.3,6788660,954700,50,15,2011,70.0
256,Financial House,UK,Fintech,92.03,18766625,2669247,20,14,2016,30.0
259,Tecnimed,Italy,Health,91.74,9551790,1354980,32,20,1976,37.5
265,LoyaltyLion,UK,Technology,90.09,4483296,657382,40,10,2012,75.0
271,Multienergia Verde,Spain,Energy,89.15,146453604,21640253,15,10,2014,33.33333333333333
274,Central Warehouse Solution,Czech Republic,Transport,88.44,1788545,274790,45,10,2015,77.77777777777779
277,Alturas Cubiertas Y Fachadas,Spain,Construction,87.96,9375243,1411811,33,12,2014,63.63636363636363
288,Cybersprint,The Netherlands,Cyber Security,86.44,2914738,449771,43,10,2015,76.74418604651163
289,Brandon Group,Italy,Ecommerce,86.3,32039000,4954590,34,19,2012,44.11764705882353
295,PastBook,The Netherlands,Technology,84.47,33651532,5361088,22,23,2012,-4.545454545454546
308,Novicap,UK,Fintech,83.03,3383802,551848,45,20,2015,55.55555555555556
315,Nordic Unmanned,Norway,Aerospace & Defence,81.55,6305237,1122907,33,12,2013,63.63636363636363
319,C.U.N. Cargo Carriers,Romania,Transport,80.52,7103702,1207613,49,43,2017,12.244897959183673
320,MG Project,Italy,Telecoms,80.48,8208450,1396400,34,23,2016,32.35294117647059
341,Aquis Exchange,UK,Financial Services,78.6,12824155,2267165,46,31,2012,32.608695652173914
343,SchönerTel,Germany,Construction,78.44,16388546,2884392,45,10,2016,77.77777777777779
353,Rouvy,Czech Republic,Games industry,77.1,4058269,751071,38,13,2013,65.78947368421053
369,SoPost,UK,Technology,74.57,7825138,1481398,32,13,2012,59.375
374,Doctify,UK,Health,73.87,2409255,461671,40,26,2016,35.0
380,Soorce,Germany,Support Services,73.13,15639618,3013629,22,13,2004,40.909090909090914
389,Goboony,The Netherlands,Travel & Leisure,71.56,1718442,340309,21,10,2015,52.38095238095239
392,S&G Solar,Bulgaria,Energy,71.29,3980920,792093,10,31,2014,-210.0
395,UPLINK Network,Germany,Telecoms,70.98,28140196,5629906,46,20,2013,56.52173913043478
402,Digital Masters,Germany,Advertising,70.6,3019110,608053,40,22,2016,45.0
413,StorPool Storage,Bulgaria,Technology,69.29,3306191,681460,25,16,2011,36.0
420,Improveasy,UK,Management Consulting,68.15,26446798,5602132,48,12,2011,75.0
422,CMT,Slovakia,Waste management & recycling,67.95,1951232,411858,19,10,2013,47.368421052631575
426,Touch4IT,Slovakia,Technology,67.69,2064141,437747,47,25,2015,46.808510638297875
436,Fill Up Média,France,Media,66.61,4999802,1081079,42,12,2011,71.42857142857143
448,Mycroclean Italia,Italy,Support Services,66.0,3366730,736000,24,14,2002,41.66666666666667
454,Obiz,France,Media,65.55,15377000,3389300,38,27,2010,28.947368421052634
459,Benefind,Italy,Technology,64.8,2262490,505520,32,10,2012,68.75
461,Mailtrack,Spain,Technology,64.41,3445698,775341,23,14,2013,39.130434782608695
462,Bumper,UK,Fintech,64.25,3394214,771504,33,15,2013,54.54545454545454
463,OTL - Online Trainer,Germany,Health,64.21,6607564,1492190,46,22,2015,52.17391304347826
473,Zia Lucia,UK,Restaurants,63.45,4853930,1119494,43,16,2016,62.7906976744186
474,Travaglini Costruzioni,Italy,Construction,63.05,4603740,1062010,37,16,1952,56.75675675675676
479,Opyn,Italy,Financial Services,62.58,4168220,969930,19,11,2012,42.10526315789473
484,Lörcher Bauunternehmen,Germany,Construction,62.43,3932792,917735,25,17,2001,32.0
488,Amphibian Scaffolding,UK,Construction,62.08,4011415,948813,49,21,2008,57.14285714285714
490,Hatstore,Sweden,Ecommerce,62.03,17453187,4195789,45,17,2011,62.22222222222222
491,Carpenteria Martino,Italy,Construction,62.0,9719750,2286000,27,19,2006,29.629629629629626
496,Dealernet,Italy,Automobiles,61.46,22704300,5394020,18,14,2017,22.22222222222222
501,GONG Galaxy,France,Retail,61.09,11320706,2708258,40,11,2009,72.5
507,Claveria,Spain,Support Services,60.64,4715363,1137450,43,20,2015,53.48837209302325
511,SIMWERT,Germany,Telecoms,59.93,26386701,6450759,21,16,2011,23.809523809523807
513,Documaster,Norway,Technology,59.85,3328791,868552,41,15,2010,63.41463414634146
521,Wealth Club,UK,Financial Services,59.38,6774867,1685348,22,15,2016,31.818181818181817
529,keylight,Germany,Technology,58.93,3499555,871779,31,14,2015,54.83870967741935
531,Genoskin,France,Chemicals & Pharmaceuticals,58.87,2810120,700823,25,12,2011,52.0
532,Payment Assist,UK,Fintech,58.41,5993895,1518678,21,12,2013,42.857142857142854
534,84codes.com,Sweden,Technology,58.4,12120207,3118698,25,11,2012,56.00000000000001
545,Chez Nestor,France,Property,57.52,8559263,2189720,33,19,2012,42.42424242424242
549,Metaminds,Romania,Cyber Security,57.08,32103084,8605113,41,21,2015,48.78048780487805
550,Time Vision,Italy,Education,57.05,2793340,721090,29,11,2012,62.06896551724138
551,Werksräder24,Germany,Automobiles,57.03,14896000,3847000,36,16,2013,55.55555555555556
557,EDA Warehousing,Germany,Transport,56.6,4570000,1190000,14,13,2014,7.142857142857142
560,AFR-IX telecom,Spain,Telecoms,56.46,9933867,2593649,24,12,2013,50.0
561,Blue energy,Poland,Cyber Security,56.42,4527970,1293181,44,28,2010,36.36363636363637
563,SOS-accessoire,France,Ecommerce,56.29,14690408,3848262,44,13,2007,70.45454545454545
564,Hannes König,Germany,Construction,56.21,8750671,2295632,27,18,2017,33.33333333333333
566,Wastepack,UK,Waste management & recycling,56.1,22373295,5924389,20,18,1997,10.0
571,iM Global Partner,France,Financial Services,55.35,31463692,8392541,50,10,2015,80.0
585,Elite,Spain,Construction,54.72,10060550,2716240,49,27,2012,44.89795918367347
589,Polipop,Portugal,Industrial Goods,54.41,3351671,910392,22,11,2015,50.0
592,Plug In Digital,France,Media,54.35,13767602,3743740,37,12,2012,67.56756756756756
596,DEMV Deutscher Maklerverbund,Germany,Financial Services,53.87,5012841,1375943,50,20,2009,60.0
608,Parkster,Sweden,Technology,53.11,55139984,15711602,28,16,2011,42.857142857142854
612,Yourparkingspace Limited,UK,Technology,52.92,13863431,3904618,32,15,2013,53.125
615,SI Silicone Innovation,Germany,Industrial Goods,52.88,3640511,1018843,40,20,2015,50.0
617,MGvision,Italy,Advertising,52.66,4010560,1127170,18,10,2010,44.44444444444444
618,New General Service,Italy,Support Services,52.56,1539360,433540,26,13,2015,50.0
619,ANDRE RENOVATION,France,Construction,52.54,11594389,3266703,41,15,2010,63.41463414634146
620,M.D.G. Components Unipersonale,Italy,Industrial Goods,52.46,2283970,644440,14,10,2017,28.57142857142857
622,Symprove,UK,Personal & Household Goods,52.42,12298843,3498275,39,16,2005,58.97435897435898
623,Tecknuovo,UK,Technology,52.39,26273556,7477852,22,10,2015,54.54545454545454
631,AuCOFFRE.com,France,Financial Services,52.07,114037838,32428296,21,18,2009,14.285714285714285
632,Divido,UK,Fintech,52.06,3786036,1084616,46,37,2014,19.565217391304348
634,Nephos Technologies,UK,Technology,52.04,17559447,5031697,25,11,2011,56.00000000000001
638,Additius Santa Maria,Spain,Agricultural Commodities,51.68,31757362,9100083,30,25,2012,16.666666666666664
650,Citadelo,Czech Republic,Cyber Security,50.95,1556521,452557,27,15,2006,44.44444444444444
651,Grill Autoservice,Germany,Automobiles,50.86,18141216,5283415,26,13,2017,50.0
666,Röhrtaler Wertstoff,Germany,Waste management & recycling,50.01,3286187,973460,34,22,2013,35.294117647058826
670,HERRLES,Germany,Automobiles,49.85,10242075,3044054,45,30,2009,33.33333333333333
681,Mulconsa,Spain,Construction,49.46,6687402,2002982,45,30,2012,33.33333333333333
685,MANANG,France,Construction,49.36,6205559,1862272,40,15,2012,62.5
686,bestbion dx,Germany,Health,49.36,14863628,4461170,27,21,2011,22.22222222222222
